Name,Date,Type,Days To Go
Bratislava – Slovakia,"October 24, 2025",Live,3
"Colours Festival – Paris, France","October 25, 2025",Festival,4
"Säälchen – Berlin, Germany","March 13, 2026",Live,143
"Le Botanique – Brussels, Belgium","March 15, 2026",Live,145
"Tolhuistuin – Amsterdam, Netherlands","March 16, 2026",Live,146
"Club Bahnhof Ehrenfeld – Cologne, Germany","March 17, 2026",Live,147
"La Maroquinerie – Paris, France","March 19, 2026",Live,149
"Concorde 2 – Brighton, United Kingdom","March 21, 2026",Live,151
"Belgrave Music Hall – Leeds, United Kingdom","March 22, 2026",Live,152
"Band On The Wall – Manchester, United Kingdom","March 23, 2026",Live,153
"Thekla – Bristol, United Kingdom","March 25, 2026",Live,155
"KOKO – London, United Kingdom","March 26, 2026",Live,156
