Artist / Client,Name,Date,Venue,Location,Country,Region
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),Bratislava – Slovakia,"October 24, 2025",,,,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Colours Festival – Paris, France","October 25, 2025",Colours Festival,Paris,France,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Säälchen – Berlin, Germany","March 13, 2026",Säälchen,Berlin,Germany,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Le Botanique – Brussels, Belgium","March 15, 2026",Le Botanique,Brussels,Belgium,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Tolhuistuin – Amsterdam, Netherlands","March 16, 2026",Tolhuistuin,Amsterdam,Netherlands,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Club Bahnhof Ehrenfeld – Cologne, Germany","March 17, 2026",Club Bahnhof Ehrenfeld,Cologne,Germany,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"La Maroquinerie – Paris, France","March 19, 2026",La Maroquinerie,Paris,France,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Concorde 2 – Brighton, United Kingdom","March 21, 2026",Concorde 2,Brighton,United Kingdom,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Belgrave Music Hall – Leeds, United Kingdom","March 22, 2026",Belgrave Music Hall,Leeds,United Kingdom,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Band On The Wall – Manchester, United Kingdom","March 23, 2026",Band On The Wall,Manchester,United Kingdom,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"Thekla – Bristol, United Kingdom","March 25, 2026",Thekla,Brighton,United Kingdom,
Moses Boyd (../Artist%20Database%2027dd3798725d80e1a656fd91adaadec1/Moses%20Boyd%2027dd3798725d80039e79df254b045a24.md),"KOKO – London, United Kingdom","March 26, 2026",KOKO,London,United Kingdom,
