Name,Created time,Document,Last edited time,Status,Tags,Week
YouTube Premiere initiation →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,YouTube,Week -1
Artwork delivered to Label →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -4
Submit lyrics via Musixmatch,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Release Day
Update “pre-save” to “out now” wording,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Release Day
Soundcloud free tier clearance,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -2
ChartMetric update with release links,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Release Day
Add TikTok official sound to co:brand for tracking,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -2
Artist socials updates →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Release Day
Promo photos delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -2
Video / visualiser / lyric video delivery to Label →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Video,Week -3
Audio: Mix finalised and delivered →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -6
DSP pitches →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Week -3
Update artist & label playlists on DSPs,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Release Day
Register release with Collection Societies,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -3
Set release as Artist Pick on Spotify,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Spotify,Release Day
Social assets creation initiated →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -2
Greenlist socials with Distro →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -3
Video: Pinned and hearted comments →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,YouTube,Release Day
Sample clearances,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Legal,Week -6
TikTok official sound released,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -2
Team update with release plan →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -4
YouTube video uploaded →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,YouTube,Week -1
Social assets delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -1
Update Smartlink with DSP links →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -1
"Featured artist, producer and mix engineer deal terms →","September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Legal,Week -6
Audio: Master / Spatial Audio delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -5
Release assets delivered to Distro →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -4
Press release delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -1
Spotify Canvas uploaded,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Week -1
Amazon Music pitch →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Week -2
ISRCS & UPCs: Add to database →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -4
Track Lyrics,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -5
Quote from artist on the track →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -4
Digital advertising plan initiated →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -3
Video / visualiser / lyric delivery to Distributor (if applicable),"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Video,Week -2
TikTok Official Audio timestamp to Distro →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -4
Label Copy →,"September 29, 2025 2:01 PM",../../Calendar%20Database%2027dd3798725d81638716cdac4e79c9ef/Release%20Page%20Checklist%2027dd3798725d81338a65edad9f09d944/Template__Label_Copy.docx,"September 29, 2025 2:01 PM",Not Started,Admin,Week -5
Update artist website,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Release Day
Video: Initiation and delivery if going to VEVO →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Video,Week -3
Release Initiation form prep →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -5
"Team update: Press release, photos and assets distributed","September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -1
Pre-save setup →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -4
Art and Video creative →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -6
Club servicing,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,"Creative, Marketing",Week -2
Initiate press release,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -3
Audio: Master / Spatial Audio booked →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -6
