Name,Author,Publication Date,Year Read
Primal Branding,Patrick Hanlon,2006,2025
This Is Strategy,Seth Godin,2024,2025
Fans,Michael Bond,2023,2024
The Culture Code,Clotaire Rapaille,2006,2025
Tribes,Seth Godin,2008,2025
Fanocracy,"David Meerman Scott, Reiki Scott",2020,2025
Marketing Lessons From The Grateful Dead,"Brian Halligan, David Meerman Scott",2010,2025
Why Does The Pedlar Sing?,Paul Feldwick,2021,2024
Society of The Spectacle,Guy Debord,1967,2024
Understanding Fandom,Mark Duffett,2013,2025
Simulacra And Simulation,Jean Baudrillard,,2025
For The Culture,Marcus Collins,2023,2023
The Cold Start Problem,Andrew Chen,2021,2024
The Revolution of Everyday Life,Raoul Vaneigem,1967,2024
Oversubscribed,Daniel Priestley,2015,2024
The Status Game,Will Storr,2021,2024
You Have Not Heard Your Favourite Song Yet,Glenn McDonald,2024,2025
Filterworld,Kyle Chayka,2024,2024
Everything I Need I Get From You,Kaitlyn Tiffany,2022,2024
Selfie,Will Storr,2017,2024
Status and Culture,W. David Marx,2022,2025
The Medium is The Massage,"Marshall McLuhan, Quentin Fiore",1967,2025
Start With Why,Simon Sinek,2009,2025
Find Your Why,Simon Sinek,2017,2025
Propaganda,Edward Bernays,1923,2024
Fooled By Randomness,Nassim Taleb,2001,2024
