Name,Created time,Document,Last edited time,Status,Tags,Week
"Team update: Press release, photos and assets distributed","September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -1
Label Copy →,"September 29, 2025 2:01 PM",Release%20Page%20Checklist%2027dd3798725d81338a65edad9f09d944/Template__Label_Copy.docx,"September 29, 2025 2:01 PM",Not Started,Admin,Week -5
Video / visualiser / lyric video delivery to Label →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Video,Week -3
Update artist & label playlists on DSPs,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Release Day
Promo photos delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -2
Add TikTok official sound to co:brand for tracking,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -2
Release Initiation form prep →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -5
Update Smartlink with DSP links →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -1
Update artist website,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Release Day
Social assets creation initiated →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -2
Video / visualiser / lyric delivery to Distributor (if applicable),"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Video,Week -2
Team update with release plan →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -4
Initiate press release,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -3
YouTube video uploaded →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,YouTube,Week -1
Set release as Artist Pick on Spotify,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Spotify,Release Day
Audio: Mix finalised and delivered →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -6
ISRCS & UPCs: Add to database →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -4
YouTube Premiere initiation →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,YouTube,Week -1
Amazon Music pitch →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Week -2
Sample clearances,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Legal,Week -6
Spotify Canvas uploaded,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Week -1
Video: Pinned and hearted comments →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,YouTube,Release Day
Artwork delivered to Label →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -4
Audio: Master / Spatial Audio booked →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -6
Track Lyrics,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -5
Social assets delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -1
Submit lyrics via Musixmatch,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Release Day
Soundcloud free tier clearance,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -2
Audio: Master / Spatial Audio delivered,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -5
Greenlist socials with Distro →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Admin,Week -3
Quote from artist on the track →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -4
DSP pitches →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Streaming,Week -3
TikTok Official Audio timestamp to Distro →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -4
Art and Video creative →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Creative,Week -6
TikTok official sound released,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Music,Week -2
Video: Initiation and delivery if going to VEVO →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Video,Week -3
Digital advertising plan initiated →,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Not Started,Marketing,Week -3
