Name,Artist / Client,Artwork,Country,Date,Days To Go,Distributor,Focus Track,Format,Label,Location,Organisation,Press Release,Region,Release / Live Link,Type,Venue
All Saints' Day (EU),,,,"January 11, 2028",812,,,,,,,,,,Key Holiday,
Christmas Day (Global),,,,"December 25, 2028",1161,,,,,,,,,,Key Holiday,
Corpus Christi (EU),,,,"May 31, 2029",1318,,,,,,,,,,Key Holiday,
Labor Day (USA),,,,"July 9, 2028",992,,,,,,,,,,Key Holiday,
Boxing Day (UK),,,,"December 26, 2030",1892,,,,,,,,,,Key Holiday,
Bank Holiday (EU),,,,"October 6, 2030",1811,,,,,,,,,,Key Holiday,
Spring Bank Holiday (UK),,,,"May 25, 2027",581,,,,,,,,,,Key Holiday,
All Saints' Day (EU),,,,"January 11, 2029",1178,,,,,,,,,,Key Holiday,
Juneteenth (USA),,,,"June 19, 2025",-123,,,,,,,,,,Key Holiday,
Bank Holiday (EU),,,,"May 17, 2027",573,,,,,,,,,,Key Holiday,
Ascension Day (EU),,,,"May 30, 2030",1682,,,,,,,,,,Key Holiday,
Ascension Day (EU),,,,"October 5, 2029",1445,,,,,,,,,,Key Holiday,
Assumption Day,,,,"August 15, 2025",-66,,,,,,,,,,Key Holiday,
Independence Day (USA),,,,"April 7, 2028",899,,,,,,,,,,Key Holiday,
"Good Friday (UK, EU)",,,,"April 14, 2028",906,,,,,,,,,,Key Holiday,
"
Thanksgiving Day (USA)
",,,,"November 26, 2026",401,,,,,,,,,,Key Holiday,
Black Friday (USA),,,,"November 26, 2027",766,,,,,,,,,,Key Holiday,
Black Friday (USA),,,,"November 24, 2028",1130,,,,,,,,,,Key Holiday,
"Good Friday (UK, EU)",,,,"April 18, 2025",-185,,,,,,,,,,Key Holiday,
Boxing Day (UK),,,,"December 26, 2025",66,,,,,,,,,,Key Holiday,
Christmas Day (Global),,,,"December 25, 2025",65,,,,,,,,,,Key Holiday,
Memorial Day (USA),,,,"May 26, 2025",-147,,,,,,,,,,Key Holiday,
Labor Day (USA),,,,"July 9, 2030",1722,,,,,,,,,,Key Holiday,
Summer Bank Holiday (UK),,,,"August 31, 2027",679,,,,,,,,,,Key Holiday,
Independence Day (USA),,,,"April 7, 2029",1264,,,,,,,,,,Key Holiday,
New Year’s Day (Global),,,,"January 1, 2025",-292,,,,,,,,,,Key Holiday,
Early May Bank Holiday (UK),,,,"April 5, 2029",1262,,,,,,,,,,Key Holiday,
Boxing Day (UK),,,,"December 26, 2027",796,,,,,,,,,,Key Holiday,
"Good Friday (UK, EU)",,,,"March 30, 2029",1256,,,,,,,,,,Key Holiday,
Summer Bank Holiday (UK),,,,"March 8, 2029",1234,,,,,,,,,,Key Holiday,
"Easter Monday (UK, EU)",,,,"April 17, 2028",909,,,,,,,,,,Key Holiday,
PH: Veterans Day (USA),,,,"November 11, 2025",21,,,,,,,,,,Key Holiday,
"
Bank Holiday (EU)
",,,,"May 25, 2026",216,,,,,,,,,,Key Holiday,
"
Columbus Day (USA)
",,,,"October 12, 2026",356,,,,,,,,,,Key Holiday,
Bank Holiday (UK),,,,"May 26, 2025",-147,,,,,,,,,,Key Holiday,
Christmas Day (Global),,,,"December 25, 2030",1891,,,,,,,,,,Key Holiday,
German Unity Day (Germany),,,,"October 3, 2025",-17,,,,,,,,,,Key Holiday,
"
All Saints’ Day (EU)
",,,,"November 1, 2026",376,,,,,,,,,,Key Holiday,
