Name,Artist,Attachment,Category,Client,Date,Days To Event,Deadline,Distributor,Location,Parent item,Project,Record Label,Region,Release Format,Status,Sub-Category,Sub-item,Task List,URL,Venue
SFC Harsh Reality #3,Joe James,,,OOO,01/12/2023,-689,"November 10, 2023",,,,,,,SFC,TBC,Social Content,,,,
TBC Rehearsals: Childlike Things - Music Video,FKA twigs,,,,29/03/2024 → 01/04/2024,-570,"March 8, 2024",,,,,,,,TBC,Rehearsals,,,,
Festival: Primavera - Barcelona,FKA twigs,,,,01/06/2024,-506,"May 11, 2024",,"Barcelona, Spain",,,,,,TBC,Festival,,,,Primavera
Release: Two Shell Single,FKA twigs,,,FKA twigs,22/02/2024,-606,"February 1, 2024",,,,,Young,,"Feature, Single",TBC,Release,,,,
"Casino de Paris – Paris, France",Brutalismus 3000,,,,07/02/2024,-621,"January 17, 2024",,"France, Paris",,,,Europe,,TBC,Live,,,,Casino de Paris
UK / EU tour – album pre-order / ticket signup closes,Sad Night Dynamite,,,,26/05/2024 11:59 PM (GMT+1),-511,"May 5, 2024 11:59 PM",,,,,,,,TBC,Tickets,,,,
Release: The Crow,FKA twigs,,,,07/06/2024,-500,"May 17, 2024",,,,,,,,TBC,Film,,,,
Good Friday,Public Holiday,,,,18/04/2025,-185,"March 28, 2025",,,,,,,,TBC,Holiday,,,,
Who Do You Think You Are? feat. Kareen Lomax,Sad Night Dynamite,,Music,AWAL,15/05/2024,-523,"April 24, 2024",AWAL,,,Untitled (https://www.notion.so/2b7368a272c64244a264b0042ec24c6a?pvs=21),,,Single,TBC,Release,,,,
"Coachella Festival – Indio, CA",Brutalismus 3000,,,,20/04/2024,-548,"March 30, 2024",,"California, Indio, USA",,,,North America,,TBC,Festival,,,,Coachella Festival
Fabrique – Milan Italy,Brutalismus 3000,,,,01/02/2024,-627,"January 11, 2024",,"Italy, Milan",,,,Europe,,TBC,Live,,,,Fabrique
Press: Vogue Podcast [Recording],FKA twigs,,,,01/02/2024 12:00 PM (GMT) → 1:00 PM,-627,"January 11, 2024 12:00 PM",,,,,,,,Confirmed,Promo,,,,
Mercury Music Prize registration open – TBC,FKA twigs,,,,10/04/2024,-558,"March 20, 2024",,,,,,,,TBC,Award,,,,
QWERTY II vinyl announcement direct to fan only (signed fan edition),Saya Gray,,Music,Dirty Hit,20/03/2024,-579,"February 28, 2024",,,,Untitled (https://www.notion.so/41c23d6c968a4870b5841edadbff1419?pvs=21),Dirty Hit,,EP,TBC,Announcement,,,,
Track Release,Sad Night Dynamite,,Music,AWAL,21/08/2024,-425,"July 31, 2024",AWAL,,,Untitled (https://www.notion.so/2b7368a272c64244a264b0042ec24c6a?pvs=21),,,Track,TBC,Release,,,,
Toronto show announce & signup – TBC,Saya Gray,,Music,,01/03/2024,-598,"February 9, 2024",,,,Untitled (https://www.notion.so/41c23d6c968a4870b5841edadbff1419?pvs=21),,,Live,TBC,Announcement,,,,
UK / EU tour – ticket pre-sale codes distributed,Sad Night Dynamite,,,,27/05/2024,-511,"May 6, 2024",,,,,,,,TBC,Tickets,,,,
Rehearsal: Martha Graham w/ Laurel,FKA twigs,,,,25/03/2024 → 26/03/2024,-574,"March 4, 2024",,,,,,,,TBC,Event,,,,
Previous live recordings available,Saya Gray,,Music,,13/03/2024,-586,"February 21, 2024",,,,Untitled (https://www.notion.so/41c23d6c968a4870b5841edadbff1419?pvs=21),,,,TBC,Social Content,,,,
[P] Festival: Austin City Limits,FKA twigs,,,,04/10/2024 → 06/10/2024,-381,"September 13, 2024",,,,,,,,TBC,,,,,
[P] Launch + Event: On Running - FW24 Training Campaign,FKA twigs,,,,05/08/2024 → 09/08/2024,-441,"July 15, 2024",,,,,,,,TBC,,,,,
Roundhouse – London,Brutalismus 3000,,,,09/02/2024,-619,"January 19, 2024",,"London, United Kingdom",,,,,,TBC,Live,,,,Roundhouse
"Zoom – Frankfurt, Germany",Brutalismus 3000,,,,27/01/2024,-632,"January 6, 2024",,"Frankfurt, Germany",,,,Europe,,TBC,Live,,,,Zoom
Sugarbaby,Sad Night Dynamite,,Music,AWAL,10/07/2024,-467,"June 19, 2024",AWAL,,,Untitled (https://www.notion.so/2b7368a272c64244a264b0042ec24c6a?pvs=21),,,Single,TBC,Release,,,,
"Button Factory – Dublin, Ireland",Sad Night Dynamite,,,,25/10/2024,-360,"October 4, 2024",,"Dublin, Ireland",,,,,,TBC,Live,,,,Button Factory
Album recording starts,Saya Gray,,Music,,16/03/2024,-583,"February 24, 2024",,,,,,,,TBC,Recording,,,,
Saya to Like QWERTY comments on Instagram,Saya Gray,,,Dirty Hit,08/02/2024,-620,"January 18, 2024",,,,,Dirty Hit,,,TBC,Social,,,,
G-LAY,Joe James,FKA%20twigs%20298f5e22480f4913bb7704f7643e179a/dbb05a1b5a60828639bd515b8af9cfdc.1000x1000x1.jpg,,OOO,08/11/2023,-712,"October 18, 2023",AWAL,,,,OOO,,Single,TBC,Release,,,,
QWERTY II website EP playback with Saya live chat,Saya Gray,,Music,Dirty Hit,26/03/2024,-573,"March 5, 2024",,,,,Dirty Hit,,,TBC,Activation,,,,
"Säälchen – Berlin, Germany",Sad Night Dynamite,,,,11/10/2024,-374,"September 20, 2024",,"Berlin, Germany",,,,,,TBC,Live,,,,Säälchen
