Song,Date,Spotify,YouTube,TikTok Creates
LANCEY OR LANCEY,10/28/2022,"22,011,173","3,300,000","891,700"
swaggin like this,08/15/2022,"4,462,701","865,000","75,700"
MMM HMM (feat. Sexyy Red),07/21/2023,"4,509,659","1,800,000","28,293"
25WAGG3DOU2,11/19/2021,"6,228,146","334,000","1,085"
Cooler Than Me,03/04/2022,"3,239,571","270,000","1,017"
SHE THE ONE,10/28/2022,"946,663","85,000",829
INDIA,09/13/2019,"10,371,300","1,500,000",671
All Night Long,10/07/2022,"1,628,309","83,000",535
Steelo Flow,01/21/2021,"3,592,819","560,000",248
DONT TALK,03/12/2021,"2,341,110","1,000,000",203
