Song,Date,Spotify,TikTok Creates,YouTube
MMM HMM (feat. Sexyy Red),07/21/2023,"4,509,659","28,293","1,800,000"
LANCEY OR LANCEY,10/28/2022,"22,011,173","891,700","3,300,000"
25WAGG3DOU2,11/19/2021,"6,228,146","1,085","334,000"
swaggin like this,08/15/2022,"4,462,701","75,700","865,000"
Cooler Than Me,03/04/2022,"3,239,571","1,017","270,000"
SHE THE ONE,10/28/2022,"946,663",829,"85,000"
INDIA,09/13/2019,"10,371,300",671,"1,500,000"
All Night Long,10/07/2022,"1,628,309",535,"83,000"
Steelo Flow,01/21/2021,"3,592,819",248,"560,000"
DONT TALK,03/12/2021,"2,341,110",203,"1,000,000"
