Name,Artist,Date,Format,Location,Type,Venue
,,,,,,
,,,,,,
,,,,,,
Only,Ones,"November 15, 2023",Single,,Release,
Angel,Ones,"January 17, 2024",Single,,Release,
ADMiT IT,Ones,"March 1, 2024",Single,,Release,
Edit #1,Ones,"November 1, 2023",Edit,,Release,
Edit #2,Ones,"November 29, 2023",Edit,,Release,
Edit #3,Ones,"December 13, 2023",Edit,,Release,
Edit #4,Ones,"January 10, 2024",Edit,,Release,
Edit #5,Ones,"February 7, 2024",Edit,,Release,
Live @ The Cause,Ones,"September 29, 2023",,London,Live,The Cause
