Name,Type,Stage,Theme / Topic,Status,AKA,Keywords,Related Library
Album Release Ideas,Playbook,Deploy,"Albums, Strategy",Draft,,,
Artist Brands,Research,Discover,"Branding, Inspiration",Draft,,,
Artist Numbers,Research,Discover,"Branding, Culture",Draft,,,
Attention Persona (?),Framework,Define,"Audience, Persona",Draft,,,
Bible: Album Campaigns,Research,Discover / Deploy,"Research, Strategy",Draft,,,
"Bible: Marketing ",Research,Discover,"Best Practices, Marketing, Research",Canonical,,,
Bible: Merch,Research,Discover,"Merch, Research",Canonical,,,
Brand Touchpoints,Framework,Design,Brand,Draft,,,
Culture Case Study: Charli xcx,Research,Discover,Culture,Draft,,,
Culture Framework,Framework,All,"Culture, Research",Canonical,,,
Culture Research Techniques,Research,Discover,"Community, Culture",Draft,,,
Fan Clubs,Research,Deploy,"Community, Engagement, Fans",Draft,,,
Fan Journey,Framework,Define / Design,"Fan Journey, Fans, Growth",Draft,,,
Fanbase Branding,Research,Design,"Branding, Culture, Fan Community",Draft,,,
Hand Signs,Research,Design / Deploy,"Culture, Fan Identity, Symbols",Draft,,,
Idents,Research,Design / Deploy,"Branding, Culture, Visual Identity",Draft,,,
Manifesto Plan,Playbook,Deploy,"Brand, Strategy",Draft,,,
Meaningful Metrics,Metric Framework,Measure,"KPIs, Metrics",Draft,,,
Netnography,Research,Discover,"Culture, Research",Draft,,,
Pre-Mortem,Research,Define / Deploy,"Best Practices, Strategy",Draft,,,
Principles & Beliefs,Principle,All,"Beliefs, Strategy",Canonical,,,
Research Framework,Research,Discover,Research,Draft,,,
Storytelling,Framework,Design,"Narrative, Storytelling",Draft,,,
Streaming Data Principles,Playbook,Discover,Research,Canonical,,,
Streaming Framework,Framework,Design / Deploy,"Data, Streaming",Draft,,,
The List,Method,Define / Deploy,Process,Draft,,,
