Name,URL,Contact,Notes
ChartMetric,https://chartmetric.com,dom@chartmetric.com,Support
ChartMetric,https://chartmetric.com,dom@chartmetric.com,"Education, academia, research (US)"
ChartMetric,https://chartmetric.com,chaz@chartmetric.com,"Labels, management, distribution, live, publishing, Tech start-ups and other companies, Education, academia, research (Ex-US)"
co:brand,https://cobrand.com,,
Cyanite,cyanite.ai,,Metadata analysis
Immensity,https://immensity.ai,,
Meddling,https://meddling.co,,
Modash,https://modash.io,,
Social Blade,https://socialblade.com,,
Songstats,https://songstats.com,,
SparkToro,https://sparktoro.com,,
Viberate,https://viberate.com,,
