Name,Website,Notes
Airbit,https://airbit.com,"Beat marketplace "
BandLab,https://bandlab.com,Cloud collaborative music creation
BeatBattle,https://beatbattle.app,Remix competition website
Beatoven,,
"Beatstar ",,
"Collabhouse ",,
Hook,https://hookmusic.com,Remix website from licensed songs and stems
KIT Plugins,https://kitplugins.com,Studio plugins
Landr,https://landr.com,"Mastering, samples, plugins"
Moises,,"Stem separation, vocal cloning "
"Mubert ",,
Overtune,https://overtune.com,Beatmaking
Plugin Boutique,https://pluginboutique.com,Studio plugins
"Riffusion ",,AI Music creation with text prompts
RoEx,https://roexaudio.com,AI powered mixing and mastering service
Slip Stream,https://slip.stream,Royalty free music resource
Sona ?,,
Sonomono ?,,
Splice,https://splice.com,"Sample packs, plugins"
"Submix ",,
