Name,Notes,Website
Hook,Remix website from licensed songs and stems,https://hookmusic.com
BeatBattle,Remix competition website,https://beatbattle.app
Landr,"Mastering, samples, plugins",https://landr.com
Splice,"Sample packs, plugins",https://splice.com
Overtune,Beatmaking,https://overtune.com
KIT Plugins,Studio plugins,https://kitplugins.com
RoEx,AI powered mixing and mastering service,https://roexaudio.com
Plugin Boutique,Studio plugins,https://pluginboutique.com
BandLab,Cloud collaborative music creation,https://bandlab.com
Beatoven,,
"Mubert ",,
"Collabhouse ",,
Sona ?,,
Sonomono ?,,
"Submix ",,
"Beatstar ",,
Moises,"Stem separation, vocal cloning ",
"Riffusion ",AI Music creation with text prompts,
Slip Stream,Royalty free music resource,https://slip.stream
Airbit,"Beat marketplace ",https://airbit.com
