Name,Location,Address,Contact,Low Rate,High Rate,Egineer
Abbey Road Studios,"London, St John's Wood","3 Abbey Rd, NW8 9AY",,£500.00,"£4,500.00",
Church Studios,"Crouch End, London","145H Crouch Hill, N8 9QH",,£750.00,,
Dairy Studios,"Brixton, London","43-45 Tunstall Rd, SW9 8BZ",,£205.00,,£125.00
Le Mob Studio,"Kensal Green, London","97A Scrubs Ln, London NW10 6QU",nick@42peaks.co.uk,,,
Lightship 95,"London, Trinity Buoy Wharf","Lightship 95, Trinity Buoy Wharf, Orchard Place, London E14 0JW",nick@42peaks.co.uk,,,
MAP Studio Cafe,"Kentish Town, London","46 Grafton Rd, NW5 3DU",,£250.00,,
Metropolis Studios,"Chiswick, London","70 Chiswick High Rd, W4 1SY",,,,
Miloco,"London, Southwark","36 Leroy ST, SE1 4SP (for HQ)",,£325.00,£725.00,£300.00
Narcissus Music,"London, Willesden","Cobbold Rd, NW10 9SL",,£650.00,,
Portobello,"London, Notting Hill",,nick@42peaks.co.uk,,,
Strongroom,"London, Shoreditch","120-124 Curtain Rd, London EC2A 3SQ",,,,
The Premises Studios,"Hackney, London","205-209 Hackney Rd, E2 8JL",,,,
Unwound,"Deptford, London","Unit 9, Brookmarsh Trading Estate, Norman Rd, SE10 9QE",adamjaff@googlemail.com,£350.00,,£100.00
