Name,Address,Contact,Egineer,High Rate,Location,Low Rate
The Premises Studios,"205-209 Hackney Rd, E2 8JL",,,,"Hackney, London",
Dairy Studios,"43-45 Tunstall Rd, SW9 8BZ",,£125.00,,"Brixton, London",£205.00
MAP Studio Cafe,"46 Grafton Rd, NW5 3DU",,,,"Kentish Town, London",£250.00
Le Mob Studio,"97A Scrubs Ln, London NW10 6QU",nick@42peaks.co.uk,,,"Kensal Green, London",
Portobello,,nick@42peaks.co.uk,,,"London, Notting Hill",
Narcissus Music,"Cobbold Rd, NW10 9SL",,,,"London, Willesden",£650.00
Unwound,"Unit 9, Brookmarsh Trading Estate, Norman Rd, SE10 9QE",adamjaff@googlemail.com,£100.00,,"Deptford, London",£350.00
Miloco,"36 Leroy ST, SE1 4SP (for HQ)",,£300.00,£725.00,"London, Southwark",£325.00
Lightship 95,"Lightship 95, Trinity Buoy Wharf, Orchard Place, London E14 0JW",nick@42peaks.co.uk,,,"London, Trinity Buoy Wharf",
Abbey Road Studios,"3 Abbey Rd, NW8 9AY",,,"£4,500.00","London, St John's Wood",£500.00
Strongroom,"120-124 Curtain Rd, London EC2A 3SQ",,,,"London, Shoreditch",
Church Studios,"145H Crouch Hill, N8 9QH",,,,"Crouch End, London",£750.00
Metropolis Studios,"70 Chiswick High Rd, W4 1SY",,,,"Chiswick, London",
